IDVenta,Unidades,Ingresos por productos (MXN),Cargo por venta e impuestos,Costos de envío,Total (MXN),Venta por publicidad,IDproducto,Canal de venta,Precio unitario de venta de la publicación (MXN),Municipio/Alcaldía,Estado,Código postal,Forma de entrega,Transportista,Fecha Venta,FechaCamino,FechaEntrega,Ganancia,Tiempo de entrega (días),Fecha Venta_season,Fecha Venta_day_of_week,Fecha Venta_holiday,Fecha Venta_month,Fecha Venta_year,FechaCamino_season,FechaCamino_day_of_week,FechaCamino_holiday,FechaCamino_month,FechaCamino_year,FechaEntrega_season,FechaEntrega_day_of_week,FechaEntrega_holiday,FechaEntrega_month,FechaEntrega_year
2000003736549361,2,370.0,-134.210006713867,0.0,235.789993286133,Sí,MLM827781598,Mercado Libre,165.0,Benito Juárez,Distrito Federal,3100,Mercado Envíos Full,Mercado Envios,2021-10-27,2021-10-27,2021-10-27,370.0,0,Fall,Wednesday,False,October,2021,Fall,Wednesday,False,October,2021,Fall,Wednesday,False,October,2021
2000003733082117,1,185.0,-67.0999984741211,0.0,117.900001525879,Sí,MLM807756963,Mercado Libre,230.300003051758,Coyoacán,Distrito Federal,4300,Mercado Envíos Full,Mercado Envios,2021-10-04,2021-10-04,2021-10-04,185.0000000000001,0,Fall,Monday,False,October,2021,Fall,Monday,False,October,2021,Fall,Monday,False,October,2021
2000003715800097,1,147.25,-58.5200004577637,0.0,88.7300033569336,Sí,MLM803071179,Mercado Libre,498.75,Iztacalco,Distrito Federal,8500,Mercado Envíos Full,Mercado Envios,2022-02-13,2022-02-13,2022-02-13,147.2500038146973,0,Winter,Sunday,False,February,2022,Winter,Sunday,False,February,2022,Winter,Sunday,False,February,2022
2000003715623733,1,147.25,-58.5200004577637,0.0,88.7300033569336,Sí,MLM803071179,Mercado Libre,498.75,Gustavo A. Madero,Distrito Federal,7420,Mercado Envíos Full,Mercado Envios,2022-02-11,2022-02-11,2022-02-11,147.2500038146973,0,Winter,Friday,False,February,2022,Winter,Friday,False,February,2022,Winter,Friday,False,February,2022
2000003894460942,1,175.0,-64.8300018310547,-97.0,110.169998168945,Sí,MLM797897673,Mercado Libre,155.0,San Nicolás De Los Garza,Nuevo León,66478,Mercado Envíos Full,Mercado Envios,2022-09-05,2022-09-05,2022-09-05,271.9999999999997,0,Fall,Monday,False,September,2022,Fall,Monday,False,September,2022,Fall,Monday,False,September,2022
2000003681892721,3,441.75,-175.550003051758,0.0,266.200012207031,Sí,MLM797897673,Mercado Libre,155.0,Atizapán De Zaragoza,Estado De México,52960,Mercado Envíos Full,Mercado Envios,2022-08-31,2022-08-31,2022-08-31,441.75001525878906,0,Summer,Wednesday,False,August,2022,Summer,Wednesday,False,August,2022,Summer,Wednesday,False,August,2022
2000003656165073,1,358.13,-81.5100021362305,-78.0,198.619995117188,No,MLM797897673,Mercado Libre,147.25,Venustiano Carranza,Distrito Federal,15900,Mercado Envíos Full,Mercado Envios,2022-07-02,2022-07-02,2022-07-02,358.12999725341854,0,Summer,Saturday,False,July,2022,Summer,Saturday,False,July,2022,Summer,Saturday,False,July,2022
2000003820501456,1,165.0,-62.5499992370605,-97.0,102.449996948242,No,MLM797897673,Mercado Libre,147.25,Tultitlán,Estado De México,54900,Mercado Envíos Full,Mercado Envios,2022-06-28,2022-06-28,2022-06-28,261.9999961853025,0,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022,Summer,Tuesday,False,June,2022
2000003642416929,1,147.25,-58.5200004577637,-11.4499998092651,88.7300033569336,Sí,MLM797897673,Mercado Libre,155.0,Xochimilco,Distrito Federal,16038,Mercado Envíos Full,Mercado Envios,2022-06-11,2022-06-11,2022-06-11,158.7000036239624,0,Summer,Saturday,False,June,2022,Summer,Saturday,False,June,2022,Summer,Saturday,False,June,2022
2000003642416931,1,147.25,-58.5200004577637,-56.2200012207031,88.7300033569336,Sí,MLM797897673,Mercado Libre,155.0,Querétaro,Querétaro,76030,Mercado Envíos Full,Mercado Envios,2022-06-10,2022-06-10,2022-06-10,203.4700050354004,0,Summer,Friday,False,June,2022,Summer,Friday,False,June,2022,Summer,Friday,False,June,2022
2000003787187744,1,155.0,-60.2799987792969,-97.0,94.7200012207031,No,MLM797897673,Mercado Libre,155.0,Coacalco de Berriozabal,Estado De México,55716,Mercado Envíos Full,Mercado Envios,2022-06-05,2022-06-05,2022-06-05,252.0,0,Summer,Sunday,False,June,2022,Summer,Sunday,False,June,2022,Summer,Sunday,False,June,2022
2000003720662746,1,159.0,-61.189998626709,-98.0,97.8099975585938,Sí,MLM797897673,Mercado Libre,155.0,La Magdalena Contreras,Distrito Federal,10010,Mercado Envíos Full,Mercado Envios,2022-04-06,2022-04-06,2022-04-06,256.9999961853028,0,Spring,Wednesday,False,April,2022,Spring,Wednesday,False,April,2022,Spring,Wednesday,False,April,2022
